Domain,Longest Common URL,"Level of Extremeism (for the denoted sentiment, how extreme is this site on a scale of 1 (centrist) to 5 (extremeist)"
http://www.realclimate.org/,http://www.realclimate.org/index.php/page,
http://www.accuweather.com/en/weather-blogs/climatechange,http://www.accuweather.com/en/weather-blogs/climatechange/,
https://www.skepticalscience.com/,https://skepticalscience.com/,
https://grist.org/series/skeptics/,https://grist.org/article/,
https://climate.nasa.gov/blog/,https://climate.nasa.gov/blog/,
http://www.climatecentral.org/blogs,http://www.climatecentral.org/blogs,
https://climatedenial.org/,https://climatedenial.org/20??/*,
https://www.yaleclimateconnections.org,https://www.yaleclimateconnections.org/20??/*,
https://simondonner.blogspot.com/,https://simondonner.blogspot.com/20??/*,
http://blogs.ubc.ca/maribo/,http://blogs.ubc.ca/maribo/20??/*,
https://www.desmogblog.com/,https://www.desmogblog.com/20??/*,
https://climatecrocks.com/,https://climatecrocks.com/20??/*,
https://insideclimatenews.org/,https://insideclimatenews.org/news/,
http://wwf.panda.org/wwf_news/,http://wwf.panda.org/wwf_news/* ,
https://globalwarmingisreal.com/,https://globalwarmingisreal.com/20??/*,
http://www.historicalclimatology.com/blog,http://www.historicalclimatology.com/blog/archives/,
http://www.climatesciencewatch.org/,http://www.climatesciencewatch.org/20??/*,
https://www.theclimategroup.org/,https://www.theclimategroup.org/news/,
http://planet3.org,http://planet3.org/20??/*,
https://agwobserver.wordpress.com,https://agwobserver.wordpress.com/20??/*,
https://climatesight.org/,https://climatesight.org/20??/*,
